name;frequency
Araceli;1
Ariadna;1
Arijona;1
Aruna;1
Asiya;1
Aurelya;1
Aviva;1
Besmira;1
Bérénice;1
Calina;1
Carlina;1
Celestine;1
Colleen;1
Dalida;1
Deliah;1
Dibora;1
Doroteja;1
Dzana;1
Edna;1
Elissa;1
Ely;1
Emela;1
Erla;1
Estrella;1
Eugenia;1
Evine;1
Eya;1
Fiora;1
Hanifa;1
Havva;1
Ilirida;1
Ilma;1
Inga;1
Ingrid;1
Ira;1
Jerina;1
Josefin;1
Juana;1
Keisha;1
Leanna;1
Lilja;1
Lillian;1
Luara;1
Lucina;1
Maaike;1
Maly;1
Maral;1
Marielou;1
Marly;1
Marylou;1
Michalina;1
Minea;1
Miria;1
Naile;1
Nayana;1
Neala;1
Neomi;1
Neya;1
Nikki;1
Niya;1
Noomi;1
Rayana;1
Reja;1
Ronia;1
Sabiha;1
Sahar;1
Savannah;1
Senja;1
Svenia;1
Wilhelmina;1
Yela;1
Yu;1
Zeliha;1
Zeyneb;1
Zipora;1
Maïlys;1
Abigaël;1
Aïda;1
Inés;1
Nell;1
Zoya;1
Annaëlle;1
Athénaïs;1
Chloë;1
Hina;1
Inna;1
Itzel;1
Justina;1
Kahina;1
Keila;1
Lianna;1
Loïse;1
Mahault;1
Marguerite;1
Ness;1
Orianna;1
Sylvia;1
Séléna;1
Séphora;1
Tanvi;1
Alesia;1
Alexine;1
Anabelle;1
Annabella;1
Delvina;1
Duaa;1
Duha;1
Ellyn;1
Fatemeh;1
Isa;1
Jemma;1
Lanna;1
Livya;1
Loïs;1
Lysa;1
Majken;1
Meena;1
Mikaela;1
Mirka;1
Mounia;1
Nayah;1
Nayma;1
Niki;1
Nya;1
Rébecca;1
Saja;1
Sania;1
Siham;1
Sima;1
Timéa;1
Yelena;1
Yona;1
Ysabel;1
Malea;0
Klea;0
Liara;0
Ellie;0
Dua;0
Leni;0
Finja;0
Alva;0
Arya;0
Inara;0
Kaia;0
Sienna;0
Frida;0
Liyana;0
Hailey;0
Lotta;0
Zoey;0
Cataleya;0
Aliya;0
Siena;0
Hira;0
Liya;0
Mayla;0
Nika;0
Tilda;0
Lenya;0
Merjem;0
Mika;0
Najla;0
Nea;0
Nefeli;0
Sidra;0
Agatha;0
Ajana;0
Bella;0
Diara;0
Eliona;0
Gelila;0
Laia;0
Linnea;0
Maia;0
Maa;0
Melia;0
Nala;0
Rajana;0
Reina;0
Rüya;0
Tilla;0
Aina;0
Alenia;0
Aleya;0
Amea;0
Amen;0
Amália;0
Arisa;0
Aura;0
Belén;0
Eira;0
Fenja;0
Giulietta;0
Juno;0
Laya;0
Lene;0
Letícia;0
Lien;0
Lira;0
Lyana;0
Malie;0
Maliya;0
Milou;0
Naiara;0
Narin;0
Nava;0
Nayeli;0
Neah;0
Noée;0
Oana;0
Olive;0
Pola;0
Quinn;0
Rajja;0
Ronela;0
Rya;0
Samaira;0
Skye;0
Sofía;0
Suri;0
Talya;0
Yoko;0
Élise;0
Aarna;0
Aenna;0
Aiyana;0
Aksa;0
Akshara;0
Alaïa;0
Aliana;0
Alíz;0
Ameli;0
Amilia;0
Anni;0
Antonina;0
Ariadne;0
Ariel;0
Ariella;0
Asmin;0
Atiya;0
Aurea;0
Avalon;0
Aveline;0
Ayanna;0
Aylén;0
Beliz;0
Benedita;0
Billie;0
Bonnie;0
Cecília;0
Cemre;0
Chava;0
Chaya;0
Coco;0
Danna;0
Doa;0
Doena;0
Elaia;0
Elanur;0
Elaya;0
Elenya;0
Eleyna;0
Eliv;0
Elika;0
Emy;0
Enni;0
Esila;0
Fajar;0
Felice;0
Fina;0
Finnja;0
Franka;0
Frieda;0
Hafsa;0
Hayat;0
Helia;0
Ilay;0
Ilvy;0
Io;0
Ivanka;0
Jannah;0
Jemina;0
Jolene;0
Joni;0
Jora;0
Kataleya;0
Lajla;0
Lanika;0
Larin;0
Lenka;0
Leyana;0
Leyna;0
Liah;0
Lian;0
Libi;0
Liel;0
Lielle;0
Lijana;0
Lilith;0
Lilo;0
Linnéa;0
Lis;0
Liyah;0
Louelle;0
Lura;0
Lyanna;0
Maelia;0
Mahira;0
Maliyah;0
Maranatha;0
Marlène;0
Matylda;0
Mavi;0
Mayleen;0
Mayra;0
Mei;0
Merina;0
Meyra;0
Murael;0
Mélodie;0
Nare;0
Neda;0
Nellie;0
Nera;0
Nola;0
Norah;0
Ottilia;0
Parajsa;0
Rey;0
Reyna;0
Riley;0
Romea;0
Rufta;0
Rumesa;0
Saida;0
Saron;0
Soley;0
Solin;0
Taya;0
Tayra;0
Vaiana;0
Valea;0
Ylvi;0
Ylvie;0
Yuma;0
Zaha;0
Zofia;0
Zuhal;0
Éloïse;0
Émilie;0
Íris;0
Betiel;0
Minna;0
Andra;0
Arwen;0
Charlotta;0
Elly;0
Hermela;0
Joleen;0
Leilani;0
Nalia;0
Élodie;0
Abby;0
Aiana;0
Alani;0
Aleja;0
Arsema;0
Ayat;0
Brianna;0
Brielle;0
Elayna;0
Eleny;0
Elim;0
Elyna;0
Filina;0
Heran;0
Ilaya;0
Ileyna;0
Isla;0
Kejsi;0
Laelia;0
Malya;0
Marlena;0
Mava;0
Maëly;0
Meylin;0
Miléne;0
Myla;0
Méloé;0
Nahia;0
Nami;0
Nara;0
Nardos;0
Nausicaa;0
Olin;0
Rayhana;0
Rejana;0
Sayana;0
Soey;0
Sora;0
Vitória;0
Viyan;0
Yva;0
Zaya;0
Zea;0
Zejna;0
Lienne;0
Afnan;0
Ayra;0
Elenor;0
