name;frequency
Burchard;4
Busch;4
Bütler;4
Cabalzar;4
Caderas;4
Cailler;4
Camoletti;4
Campell;4
Camuzzi;4
Canonica;4
Carrard;4
Cartier;4
Castanea;4
Catenazzi;4
Cattaneo;4
Ceberg;4
Cellérier;4
Cerjat;4
Chaix;4
Chalon;4
Chandieu;4
Chastel;4
Chicherio;4
Chiesa;4
Chouet;4
Clausen;4
Cleric;4
Clottu;4
Colin;4
Colomba;4
Colombi;4
Combe;4
Constam;4
Conzett;4
Corbaz;4
Corboz;4
Correvon;4
Cotti;4
Courtelary;4
Dahinden;4
Däniker;4
Dardel;4
Daucourt;4
Debrunner;4
Decker;4
Deonna;4
Dollfus;4
Dreyfus;4
Dubied;4
Dubuis;4
Duc;4
Duens;4
Dufaux;4
Dumur;4
Dupont;4
Durheim;4
Dürrenmatt;4
Dürst;4
Ebneter;4
Ecublens;4
Eder;4
Eich;4
Eichenberger;4
Elgger;4
Emery;4
Eppenstein;4
Esch;4
Euler;4
Falkner;4
Feigenwinter;4
Feldmann;4
Félice;4
Ferrette;4
Fetscherin;4
Fick;4
Flournoy;4
Flue;4
Flugi;4
Folletête;4
Fonjallaz;4
Fonte;4
Forster;4
Fribourg;4
Fritzsche;4
Froebel;4
Frohburg;4
Fröhlich;4
Fürstenberg;4
Gabriel;4
Gachet;4
Gadient;4
Galiffe;4
Ganguillet;4
Garovi;4
Gasparin;4
Gattiker;4
Gautschi;4
Gendre;4
Genève;4
Germanier;4
Germond;4
Gertsch;4
Girardin;4
Glarner;4
Gorrevod;4
Gos;4
Gosse;4
Graber;4
Grammont;4
Granges;4
Greith;4
Gremaud;4
Grieb;4
Grieshaber;4
Gröbli;4
Grünenberg;4
Gubler;4
Guggenbühl;4
Guhl;4
Guinand;4
Gundoldingen;4
Guntern;4
Gyger;4
Gysi;4
Hackbrett;4
Haenni;4
Hahn;4
Halten;4
Hardegger;4
Heberlein;4
Heidegg;4
Heidenheim;4
Heimann;4
Heintz;4
Held;4
Hennezel;4
Henriod;4
Herold;4
Herrmann;4
Hettlinger;4
Heudorf;4
Hilfiker;4
Hinwil;4
Hirsch;4
Hirt;4
Hitz;4
Hodler;4
Holbein;4
Holdener;4
Homberg;4
Honnerlag;4
Hopf;4
Hospental;4
Howald;4
Hünenberg;4
Hungerbühler;4
Huntzikon;4
Huonder;4
Iklé;4
Imesch;4
Ineichen;4
Infanger;4
Jaccottet;4
Jenatsch;4
Jobin;4
Joffrey;4
Jordi;4
Joux;4
Käch;4
Kambli;4
Karlen;4
Keel;4
Kiefer;4
Kienberg;4
Klaus;4
Klingenberg;4
Kloten;4
Knecht;4
Knüsel;4
Kraft;4
Krebs;4
Krüdener;4
Künzler;4
Kutter;4
Ladame;4
Lambelet;4
Lancy;4
Lanker;4
Lanthen-Heid;4
Lardelli;4
Lauwiner;4
Leumann;4
Lieb;4
Liebegg;4
Liebenberg;4
Loës;4
Löffler;4
Loretz;4
Löwenberg;4
Luchsinger;4
Lugeon;4
Lupfen;4
Lütishofen;4
Lützelflüh;4
Marazzi;4
Marcacci;4
Marchion;4
Marty;4
Masson;4
Matile;4
Matzingen;4
Maunoir;4
Mechel;4
Meggeli;4
Mellet;4
Menthon;4
Menthonay;4
Mettenwil;4
Metternich;4
Metzler;4
Migy;4
Minder;4
Ming;4
Misani;4
Mittelholzer;4
Moll;4
Montagny;4
Montricher;4
Morard;4
Morsier;4
Motta;4
Mousson;4
Muleren;4
Müller-Friedberg;4
Mutach;4
Naef;4
Naeff;4
